Year,Div_world_mean,Argentina,Australia,Austria,Bahrain,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Cambodia,Canada,Chad,Chile,China,Côte d'Ivoire,Croatia,Cyprus,Denmark,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestinian Territories,Panama,Peru,Philippines,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,UAE,Uganda,UK,Ukraine,US,Venezuela,Vietnam,Zambia
1996,83.60149448938316,68.33406276014367,67.22202041769506,62.469893196658454,NA,54.882799616643354,NA,87.74567263179924,91.23116903224842,NA,NA,75.96002191169838,NA,92.23915113665797,98.63853716867716,100,NA,NA,64.05529598505005,100,100,97.2169482701048,59.837419691533356,50.03332031130333,NA,43.02037261567357,98.73393831075386,95.07659771061438,64.06476023864968,92.82348813524172,98.45451575514691,100,70.89795523093623,NA,70.70053262871794,89.71038544549124,82.64220250884404,100,89.03741935586089,100,99.7261900545188,97.95362058989717,NA,95.14189516360419,NA,59.55132764129173,73.9931126534123,100,85.86378512759416,NA,89.04933289083374,NA,43.67891831756263,87.25841435225009,99.08679104768095,52.49960322865904,NA,100,NA,100,95.16875160892066,83.23858327949372,NA,NA,NA,97.35343184663856,NA,NA,59.71509203204074,99.15655759704045,99.8198115926656,85.79402372221409,100,71.67326626472406,96.3050651206237,55.2132608857267,54.062056806166794,97.45884648599753,87.48132985594461,98.28776309670832,NA,99.52480110731778,NA,NA,62.53475850311714,NA,75.86114455822417,99.41413733412536,NA,NA
1997,73.80757955710092,39.785433122612645,49.71633363369175,43.45631894158062,NA,46.63015741633277,NA,100,66.94331362977262,NA,NA,43.68931770189513,NA,60.444266690838056,98.80182078820025,96.20594852501823,97.0341895353749,NA,56.45790380649699,98.52660525205243,97.79846430676517,91.00337149511249,31.06944782837494,42.11338919764109,NA,35.728447214276535,99.94407060540901,95.19812313268632,46.97909950852765,61.96412973110564,100,96.07561756242193,73.38528999334478,NA,53.891561575760335,79.24010221778542,56.83222450831783,100,83.23513005094877,100,100,91.81221735594393,NA,79.57857608537093,NA,74.02172916046197,74.99656280606027,100,39.15015237537147,NA,90.59234397556975,NA,32.42823959595904,49.1462406806894,100,50.6181980693432,100,85.84288695735512,NA,97.26734740512654,69.1674445820286,80.90379833324529,NA,NA,81.40005978756965,53.44874926096509,NA,NA,46.900775724454014,98.896719552266,95.04661606126146,41.06727576575086,93.80061124501083,45.50481224903831,96.2401025209368,33.27276650563719,40.974634481443275,89.02909876648022,87.87902133516903,100,NA,92.10959055583785,NA,NA,57.29343547259786,NA,55.1265060632682,79.44123962320518,NA,100
1998,71.7091079729195,33.5050532104712,53.21978433521303,45.45010856523224,NA,39.07528458917716,NA,87.6861187138519,68.8969811569228,NA,NA,47.38987828989967,NA,51.7172380850621,100,100,78.30301955630118,NA,48.328988185088015,97.3043140782319,100,97.85221016493199,29.399565575716146,21.27526041001412,NA,27.397678795118363,99.842541906251,70.3004793645617,46.6361072027017,56.91531446135292,88.7857863209508,89.87915011632364,66.8572849753197,NA,62.27495395748313,73.79669787166765,31.752599643126533,96.36255404908698,64.95676524260364,100,100,93.94877892663011,NA,88.04085843638114,NA,82.10109059882936,100,100,36.28801402789621,NA,95.50590217034845,NA,23.532899581274247,62.11488032986339,98.50916660620973,43.44825219013755,100,95.4704036798321,NA,100,66.22653295557171,56.79515036843613,NA,100,100,69.57227553094208,98.0638311187827,NA,44.08749798978373,98.65302922193352,85.12525622989988,49.6700545650633,89.63707633325969,29.16777124755687,96.03417221188725,34.39836993810496,27.77523765968608,73.06157569403211,51.55902017857215,98.64476570650133,84.52929138493576,77.40157191698536,NA,NA,35.93959778749183,94.4237309608337,53.41277015236976,84.56447437095427,NA,98.48164718363705
1999,81.18674072840477,61.535944569977154,76.4938746540667,70.83100267680994,NA,52.46753678840827,NA,93.3381479756529,77.1326246356619,NA,NA,68.18560352119522,NA,73.0216898061642,97.90771865301865,92.59271046981172,91.45718596894275,NA,68.5896870735954,95.72488517416593,98.69205832708235,92.30570782885349,60.440996382205256,24.781129970901382,NA,37.070520675062,100,85.88737277928499,65.58773628524312,74.64227361095945,89.73972740123205,99.96067020484577,87.73229634692439,NA,76.83301411861679,82.67587446703443,40.820087416673424,97.49474331973302,85.70053547272268,99.56050780014992,97.14983173561906,98.05289570692749,NA,81.60703229141997,NA,96.99808263048368,97.83174760251853,100,54.836401917470056,NA,91.05076449299986,NA,31.354732148978947,80.69059427849837,98.54730353703015,64.6554587668339,96.79121238963403,99.66694633482672,NA,100,67.93727965170007,76.30347372437839,NA,100,100,89.33178240099274,100,NA,71.69768466148608,96.36488989506192,93.50403663507603,72.09570664205269,87.19537224450815,36.588570040388866,100,50.28732422698743,42.205669470564786,96.63550052275738,72.68976593129965,97.81065723595279,89.3604688459897,96.62153811364209,NA,NA,50.942204692859164,98.09032966965503,78.92519239708169,92.6529134796173,NA,98.58136302645126
2000,76.50770726213712,56.804564825155026,62.97319761061375,55.20743959568368,97.544409751136,65.43204839048914,NA,94.01894143269963,62.3564625956726,NA,NA,51.82651739618066,NA,75.7183588095818,100,70.60141547632995,89.28021521897989,NA,58.70880270338481,73.22616965463662,100,83.77594670921094,49.782688880975655,20.16927729596093,NA,25.386137090865436,100,85.47493158057512,47.52173150325956,59.93161370111415,90.4874146899377,90.4505371599495,96.58527630656376,NA,66.1512446680566,74.47612035003328,30.271871776273372,100,76.78045365237833,99.05733922156818,97.49197639197676,100,NA,81.98158077707076,NA,89.80678265172463,80.2370703278466,99.04212016506105,50.04205391480775,NA,87.08565082239737,92.67695936991862,24.309404680742517,81.66090508289638,100,50.622598776922736,100,99.94795726271713,NA,99.2433027526414,81.25172354538269,93.82492852929687,NA,100,95.45963258817464,69.05862905182848,98.65915735903495,NA,59.46919465835112,94.05813209232664,66.63131055920266,58.66719374029385,61.548322226634724,31.360040736267713,98.4073184077604,51.0154206715654,46.19782620984976,91.49526395955016,74.50571789660685,100,91.84538422261573,94.71600235199766,NA,NA,45.25133490080847,99.21224076272793,51.491605475979576,86.78675916576374,NA,100
2001,73.31208730962506,80.59968420528233,64.38151591280938,52.790897413236,99.55612460950043,32.17353459084957,NA,100,76.8697407572049,99.19716245893623,NA,54.58750645265388,NA,66.28273992066565,97.13531209243781,90.52841131652988,80.57940038266365,NA,57.244608500500874,NA,96.30571217442552,60.413227343453954,50.57537101825772,12.489742818853033,NA,19.712567817288228,92.96042728150005,71.66819954845283,50.5363774763251,59.69291719457481,94.60230867353222,80.67216438004586,94.77961875490442,NA,50.67162397064491,72.36082086289066,19.13986701482382,100,66.99008128296141,92.92542201077377,100,99.61460839593714,NA,61.09336313654962,NA,83.25538355047415,79.77722606115161,100,63.27456143641022,NA,93.20040307796266,64.43750283836891,17.8540137943483,65.29466256000136,100,55.76408011029665,100,94.70056302897298,NA,72.25378873283941,79.58709632842297,92.85573375467229,NA,99.8158814089277,99.62887225619252,77.19196214093229,81.69882916276609,NA,56.44796174096795,89.58875910026092,69.00962842418524,69.89747186245617,56.322074498498274,23.94637806139106,100,39.350524853905824,30.712569573488203,83.0154782496323,82.04899048834356,100,82.3155576890066,84.25365291342709,NA,NA,27.92385820602481,100,40.2552969994491,100,NA,96.97255092938633
2002,75.02741189082803,99.93886992690378,58.26157751816838,70.18598983855763,99.67666609637682,21.350706289546494,NA,80.65954006708688,88.45914838697833,99.93985743638962,NA,35.84858937421394,NA,63.40462534799472,100,95.25246592920841,97.54844645067445,NA,46.692928763171516,98.77509701587101,100,84.83901043609502,34.58552511565891,6.64371756512494,NA,23.013188044983668,100,63.744592853872874,55.366892101954946,72.74180898504572,89.23476265176717,92.23103856342833,95.03349319825355,NA,52.31457823796008,92.41949752256569,17.378074865971126,100,80.01990924240405,94.70939285236217,99.18813021767929,100,NA,73.10594135849978,NA,84.60208116047204,84.29430264477344,100,51.58893967409346,NA,88.60190197223567,63.760408563450156,11.531394348050995,66.2038867965337,98.91824880237048,49.396302795182535,100,100,NA,82.95514836434317,85.09760263947858,89.86933719819126,NA,100,100,73.30438155117697,99.28385317244114,NA,60.785933970773385,91.39069762334488,95.12863970404744,82.218483223385,59.139798132379006,21.831263658599642,98.94620722288063,28.251989658816413,23.1158997431943,65.58260162948217,70.36688846524557,97.29902720912294,85.80437633031623,92.77393013837944,NA,NA,22.612649279154407,100,44.9704368767953,100,NA,99.83780511779472
2003,77.6100840522599,95.68077485369872,67.87171778479075,71.78105330985628,100,30.221935182520276,NA,84.70371261142677,79.28034319276837,90.75298564167561,NA,66.29716346253194,NA,73.07389326393219,100,94.11782498412671,94.59464482343645,NA,60.89844018476502,100,98.26615771669137,84.42036682811786,51.87461231151178,10.788123475992172,NA,27.657015191877264,99.43975801675002,73.77268950813807,48.908761396537116,90.00290850370135,86.83131476947712,91.53749171250638,89.71731327855733,NA,71.18696092802588,92.31559691818396,27.521673761230137,95.39868966977129,69.9315663209318,99.24929792538086,97.71878217448608,98.10292932623669,NA,84.56247407069925,NA,80.81364947768051,68.6995664383442,97.12601930773684,63.140410328692866,92.63395875651696,84.31145528474565,68.946896656637,11.92758555988993,74.91709440515505,100,69.79520866504328,100,96.72511242688245,NA,100,85.55158252756647,89.51729060537247,NA,100,91.85395042827832,95.53692118295676,99.20497536032718,NA,52.73434699987642,91.9504727405335,77.33609747186755,89.34137887376343,53.247343592993246,24.016016620327285,99.74271012609036,35.56540027450546,37.664151995899076,57.05567824495037,86.20883770240161,99.93754092868016,83.42439903725418,92.5767933752827,NA,NA,31.536960978969276,99.88095134736264,42.036992979901086,99.97177947568049,NA,97.34780064099394
2004,69.19562828531366,77.85766799250784,40.73336083663205,39.65918743509225,99.61450230195175,18.04352767389894,NA,89.74529009110724,58.845372892433055,75.13138983403151,NA,56.91335044375894,NA,62.227379060973284,98.83981466601644,96.759024529514,74.15483662981642,92.09550858642247,33.11342602914931,100,100,64.9124873008565,54.5457514072464,5.694951086413291,NA,9.753557767963928,100,55.46121090449021,49.44117417549164,67.49600955300869,85.72537860337478,82.32374710040527,62.10237926562689,NA,47.436879529896544,75.66025120867032,13.796298489707958,100,50.978603169530025,100,90.2797627527628,98.51802007624086,NA,65.71910037166965,NA,72.80487608024082,70.19139719477792,100,51.18583709914427,92.64216342327066,77.0632643872152,49.31919517065963,8.41512041884438,50.00010709410905,100,56.229077461062325,98.3160367351139,96.91774993338205,NA,100,85.82702075765175,88.06242438391048,36.045574565313764,96.6777718429838,87.69295613388796,84.80249997857388,89.08137304064951,NA,45.69785246969258,77.58133881291663,58.01873011464862,61.61036432494298,46.40281946353673,15.584261507351894,98.72593682980691,23.731830039947333,21.492260670403606,62.528886230548586,75.4948439235933,100,60.7735569557076,81.89742162457803,NA,96.72698890016645,28.524595816865748,100,63.88313741536877,93.88158417463843,NA,99.84894951229857
2005,74.14542502219695,78.12289040579113,53.563728121771405,48.83966969201411,99.05759458919351,23.739622583589327,NA,93.46256961464456,75.57971954183411,87.02191176313111,NA,66.97236605000094,NA,67.54075234548418,98.62800055458203,92.33906185519348,89.33886529558565,88.86436811642567,47.31763729874845,100,98.46511149235891,79.22724633729997,41.070522441877365,8.316999788004132,NA,17.277876200125863,100,65.71990379255952,62.95996020788379,68.31564376625688,88.96962520301979,84.81461549283637,88.90562289999482,NA,50.018575727146256,89.02512426027386,16.65260463585243,95.79659802593787,58.40449297660226,98.78194801224599,100,99.5412213532707,NA,78.73495143335184,100,93.4052783840991,85.16145877162596,100,58.66887308584728,98.28122958051682,70.17915762936136,65.2668561329706,13.485359690265408,47.835543912434055,100,54.57947422952005,100,100,NA,NA,84.72442845350118,95.27925829274783,38.89155593991623,95.99717700565516,95.51928846267423,76.72347718697819,98.7135283608054,NA,62.6705447497803,81.92060968911102,69.65520191775201,50.76296080664292,59.411173802585935,16.552839296687672,98.96330580219505,31.580609860176136,30.06610280105153,61.54463165657693,81.40485118807128,96.51050442383243,78.25720749411566,71.75794922532981,98.05159229242196,100,27.51587935027109,97.8125846851161,69.5843343738957,100,NA,99.36634634413842
