Year,Country,Div,TED,VIX,SENT,FEDFUNDS,GLOBAL SUPPLY CHAIN,INTERNET,GDP PER CAPITA,1992 - ERM,2009-10 - EUROZONE
1987,Australia,35.32742389813601,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Australia,69.21070798905737,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Australia,69.89869406944756,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Australia,80.3908421361429,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Australia,67.87301606663334,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Australia,66.05086485438267,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Australia,85.74471184877991,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Australia,71.27040054711642,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Australia,85.35402676566902,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Australia,68.19818909769135,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Australia,48.46676620740005,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Australia,54.04337415480914,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Australia,75.1531859191245,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Australia,62.700217004772874,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
2001,Australia,69.02966220067748,0.38,25.75,0.85,3.89,48.6,8.0108140021014,6717.79772703242,0,0
2002,Australia,57.06162658762858,0.19,27.29,-0.58,1.67,47.95,10.4589434184407,6771.22163904373,0,0
2003,Australia,66.8233135000444,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Australia,39.301683805646135,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Australia,53.584346518784066,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Australia,43.081150985545534,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Australia,25.929182985177356,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Australia,23.420198386656754,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Australia,32.32707924659355,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Australia,24.90752708036871,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Australia,19.77931996458392,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Australia,27.91414487875712,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Austria,73.68504563197227,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Austria,72.72507891827901,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Austria,61.23087651381449,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Austria,64.62304158671465,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Austria,59.01335797396965,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Austria,27.56420446974177,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Austria,47.65893924690505,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Austria,46.35401324211319,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Austria,56.2282903668742,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Austria,41.36131009156171,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Austria,58.422885884698495,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Austria,46.12553619666413,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Austria,45.85225786877047,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Austria,69.46801282506055,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Austria,52.934810403450996,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
2001,Austria,52.09126176788209,0.38,25.75,0.85,3.89,48.6,8.0108140021014,6717.79772703242,0,0
2002,Austria,70.88466221794059,0.19,27.29,-0.58,1.67,47.95,10.4589434184407,6771.22163904373,0,0
2003,Austria,70.53619999302025,0.21,21.98,-0.56,1.13,48.61,12.1399683529482,6871.23594904106,0,0
2004,Austria,39.01673372276586,0.25,15.48,0.02,1.35,51.59,14.0327318252414,7067.2542820758,0,0
2005,Austria,49.15071686599788,0.41,12.81,-0.02,3.21,53.71,15.6291589559443,7230.56293045898,0,0
2006,Austria,28.786759758863013,0.47,12.81,0.11,4.96,56.35,17.411462466032,7433.81845310028,0,0
2007,Austria,20.494325591788133,0.94,17.54,0.03,5.02,57.2,20.3581214237469,7633.01341022813,0,0
2008,Austria,17.568392065762417,1.55,32.69,-0.21,1.93,59.25,23.0514567079442,7649.62263215115,0,0
2009,Austria,19.2907587785516,0.54,31.48,-0.02,0.16,51,25.5958603885016,7401.23797505688,0,1
2010,Austria,11.181123454490315,0.21,22.55,-0.12,0.18,55.88,29.0941327557255,7611.10733571686,0,1
2011,Austria,13.434602973674892,0.28,24.2,NA,0.1,59.5,31.7488501299365,7734.90212445132,0,0
2012,Austria,12.674421452041562,0.34,17.8,NA,0.14,59.74,35.2826985798825,7818.16630093263,0,0
1986,Bahrain,NA,0.86,NA,0.44,6.81,35.67,0,5411.27027157139,0,0
1987,Bahrain,NA,1.41,NA,0.06,6.66,36.14,0,5508.59818378918,0,0
1988,Bahrain,NA,1.31,NA,0.06,7.57,37.06,0,5667.18881968796,0,0
1989,Bahrain,NA,1.18,NA,-0.3,9.22,38.31,0,5782.29155212196,0,0
1990,Bahrain,NA,0.79,23.06,-0.59,8.1,38.71,0.049581852062188,5853.99140468668,0,0
1991,Bahrain,NA,0.61,18.37,-0.25,5.69,38.46,0.331622973584281,5839.98555941898,0,0
1992,Bahrain,NA,0.4,15.45,0.01,3.52,39.68,0.277904981759994,5861.15144217138,1,0
1993,Bahrain,NA,0.31,12.69,-0.12,3.02,38.61,0.253387458475413,5866.55447969755,0,0
1994,Bahrain,NA,0.5,13.93,-0.06,4.2,40.4,0.449635166367507,5959.44882588387,0,0
1995,Bahrain,NA,0.55,12.39,-0.01,5.84,42.76,0.782955692962226,6049.1334690679,0,0
1996,Bahrain,NA,0.51,16.44,0.45,5.3,43.04,1.33158612802636,6159.46067792603,0,0
1997,Bahrain,NA,0.68,22.36,0.2,5.46,44.8,2.03613460163745,6297.33253861861,0,0
1998,Bahrain,NA,0.79,25.6,-0.04,5.35,45.13,3.12073515478569,6369.29257105243,0,0
1999,Bahrain,NA,0.77,24.37,0.38,4.97,45.56,4.59500129441564,6494.78475878248,0,0
2000,Bahrain,100,0.71,23.32,1.79,6.24,49.81,6.69090733369566,6682.76344153284,0,0
