Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Equity_Liq,Dev_PC1
Argentina,1986,NA,0.86,NA,1.20774,6.81,NA,0,0,1.39,16.9072294949,1.4341172682,216,14.4860327921,15.0364880919,14.21,11.12,56.16,NA,NA
Argentina,1987,NA,1.41,NA,0.0861263,6.66,NA,0,0,1.36,21.2973148811,1.276373515,205,15.448969883,10.1528068654,15.47,15.96,57.68,NA,NA
Argentina,1988,NA,1.31,NA,-0.246703,7.57,NA,0,0,1.19,20.3358354793,2.0225056433,193,15.7434586087,167.3913043478,19.79,14.16,56.75,NA,NA
Argentina,1989,NA,1.18,NA,-0.0558675,9.22,NA,0,0,1.03,39.7174950191,4.172755007,183,19.6377977019,12.3854315529,18.38,14.72,58.67,NA,NA
Argentina,1990,99.8901120005,0.79,23.06,-0.2267458,8.1,0.049343084935042,0,0,0.95,15.6016948142,2.5576508076,178,14.9908589999,22.1494758388,25.88,15.84,61.5,0.5153256705,NA
Argentina,1991,99.1209635169,0.61,18.37,0.1842355,5.69,NA,0,0,1.41,12.5872034907,9.8248479578,169,13.7530541589,24.4032361036,26.37,19.21,66,0.1979565773,NA
Argentina,1992,96.3425793274,0.4,15.45,0.7072105,3.52,NA,1,0,0.93,15.4453354474,8.1398717418,170,14.7309805864,84.5112253062,30,25.33,68.67,0.1157760814,NA
Argentina,1993,99.3653355426,0.31,12.69,0.7764879,3.02,0.251846904392612,0,0,0.76,18.2846049267,18.6090186925,165,16.2231515323,112.9592096844,25.47,26.37,71.66,0.1581828134,NA
Argentina,1994,81.4632860594,0.5,13.93,0.4535778,4.2,0.44703068563943,0,0,0.73,20.2805779988,14.3206960845,156,18.1342254506,306.0389723114,29.38,30.55,76.42,0.1807692308,NA
Argentina,1995,63.7094775022,0.55,12.39,0.3257557,5.84,0.777442482500118,0,0,0.62,19.9606075609,14.6430739628,149,19.7715009878,84.437290287,28.21,28.17,75.25,0.2082417582,NA
Argentina,1996,76.9054708076,0.51,16.44,0.8705939,5.3,1.32595247753488,0,0,0.66,20.1870018253,16.4219698897,147,21.5063581723,70.0421884282,30.38,29.54,76.42,0.258057676,NA
Argentina,1997,88.9814661108,0.68,22.36,0.6336278,5.46,2.04243902865752,0,0,0.67,21.9334587634,20.2322107226,136,23.3361446976,64.481767236,33.26,34.01,74.42,0.2417442073,NA
Argentina,1998,79.3353887704,0.79,25.6,-0.1820838,5.35,3.14158554724959,0,0,0.58,24.1532987733,15.164096127,131,23.3499443466,57.4958087742,33.54,40.71,75.83,0.3182914715,NA
Argentina,1999,82.1013448121,0.77,24.37,0.2703665,4.97,4.63877597122674,0,0,1.05,24.8933437499,19.6977246996,125,21.3826567862,21.2402936707,33.46,37.7,74.17,0.3845350052,NA
Argentina,2.00E+03,80.0238790266,0.71,23.32,2.253173,6.24,6.74323018871102,0,0,0.55,23.8947336198,16.1290412248,122,22.6225023421,19.9514870851,28.63,38.5,72.58,0.503525641,NA
Argentina,2001,94.0537481442,0.38,25.75,0.9678661,3.89,8.07706329262291,0,0,0.78,20.8335746525,12.4244152562,116,21.8524228522,19.9556673856,28.8,35.88,72.71,0.6049710188,NA
Argentina,2002,97.6683367273,0.19,27.29,-0.4090234,1.67,10.5489331933289,0,0,1.32,15.3318584042,16.9569392156,110,41.7527512957,7.0521392795,17.71,27.01,59.17,0.5648884959,NA
Argentina,2003,98.4751795605,0.21,21.98,-0.6446413,1.13,12.234763211745,0,0,1.18,10.7627059172,27.4280508755,106,40.6446897458,8.3713153622,23.92,33.26,60.8,0.3777570674,NA
Argentina,2004,85.58828882,0.25,15.48,0.1812333,1.35,14.1273630392821,0,0,0.9,9.6825181963,24.653455736,103,40.6926461089,11.2121608509,29.43,40.46,64.92,0.3452078032,NA
Argentina,2005,93.2776975936,0.41,12.81,0.3537202,3.21,15.7291032917782,0,0,0.66,10.6534929189,23.9463598867,100,40.5668918869,11.0479866696,32.13,39.09,68.95,0.3679547559,NA
Argentina,2006,73.1858589233,0.47,12.81,0.5309572,4.96,17.4925263247273,0,0,0.95,11.9102616608,22.0333391527,101,40.4334798719,6.6119855668,37.58,40.63,71.01,0.3969428008,NA
Argentina,2007,63.6228793388,0.94,17.54,0.4169228,5.02,20.4254798468558,0,0,0.94,13.0985413494,19.8483841981,106,40.9451706186,8.489550406,37.71,41,70.67,0.3812727782,NA
Argentina,2008,57.3627016707,1.55,32.69,-0.674186,1.93,22.9505607103817,0,0,1.21,12.3139467143,11.0218432201,107,40.402673379,8.3753321175,37.34,38.84,67.01,0.3557797165,NA
Argentina,2009,63.699950895,0.54,31.48,-0.6780831,0.16,25.3563448209684,0,1,3.09,12.4162075417,13.7381863641,101,34.0571269055,3.3021801542,34.68,33.26,64.88,0.4073754789,NA
Argentina,2010,65.589988703,0.21,22.55,-0.2242614,0.18,28.7336041746693,0,1,0.99,12.6901062455,15.086320353,101,34.9710132636,3.9818469127,39.13,37.01,64,0.3450191571,NA
Argentina,2011,49.9917453325,0.28,24.2,0.0085686,0.1,31.1245061341395,0,0,1.05,14.0087151168,8.2200694606,99,35.206155,5.6317618786,41.17,40.13,66.46,0.3684803002,NA
Argentina,2012,80.2036610532,0.34,17.8,-0.2071169,0.14,34.1934316686336,0,0,1.38,15.2128150157,6.2739662532,101,30.5265423717,4.2684299258,40.16,36.63,65.21,0.4386505934,NA
Argentina,2013,,0.21,14.23,0.0973709,0.11,36.7246385665545,0,0,,,,,,,,,,,
Argentina,2014,,0.20,14.18,0.0579681,0.09,39.7719529967335,0,0,,,,,,,,,,,
Argentina,2015,,0.26,16.67,-0.0884614,0.13,42.9629588914388,0,0,,,,,,,,,,,
Argentina,2016,,0.43,15.83,-0.2060358,0.40,45.6732900276397,0,0,,,,,,,,,,,
Argentina,2017,,0.33,11.09,-0.0388482,1.00,48.565130757136,0,0,,,,,,,,,,,
Argentina,2018,,0.37,16.64,-0.2820873,1.83,,0,0,,,,,,,,,,,
Australia,1986,99.7027849883,0.86,NA,1.20774,6.81,NA,0,0,1.39,40.3347020223,65.4481073011,1162,33.0814689743,18.994977031,35.25,31.39,81.17,0.2582768445,-1.40009000443867
