Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Argentina,1998,79.3353887704,0.79,25.6,-0.04,5.35,3.1207351548,0,0,0.58,24.1532987733,15.164096127,131,23.3499443466,57.4958087742,33.54,40.71,75.83,73.32768293,0.83076668,0.3182914715,NA
Argentina,1999,82.1013448121,0.77,24.37,0.38,4.97,4.5950012944,0,0,1.05,24.8933437499,19.6977246996,125,21.3826567862,21.2402936707,33.46,37.7,74.17,73.54426829,3.284481956,0.3845350052,NA
Argentina,2000,80.0238790266,0.71,23.32,1.79,6.24,6.6909073337,0,0,0.55,23.8947336198,16.1290412248,122,22.6225023421,19.9514870851,28.63,38.5,72.58,73.75580488,7.038683086,0.503525641,NA
Argentina,2001,94.0537481442,0.38,25.75,0.85,3.89,8.0108140021,0,0,0.78,20.8335746525,12.4244152562,116,21.8524228522,19.9556673856,28.8,35.88,72.71,73.96031707,9.780807285,0.6049710188,NA
Argentina,2002,97.6683367273,0.19,27.29,-0.58,1.67,10.4589434184,0,0,1.32,15.3318584042,16.9569392156,110,41.7527512957,7.0521392795,17.71,27.01,59.17,74.15578049,10.88212438,0.5648884959,NA
Argentina,2003,98.4751795605,0.21,21.98,-0.56,1.13,12.1399683529,0,0,1.18,10.7627059172,27.4280508755,106,40.6446897458,8.3713153622,23.92,33.26,60.8,74.34126829,11.91369655,0.3777570674,NA
Argentina,2004,85.58828882,0.25,15.48,0.02,1.35,14.0327318252,0,0,0.9,9.6825181963,24.653455736,103,40.6926461089,11.2121608509,29.43,40.46,64.92,74.51878049,16.03668411,0.3452078032,NA
Argentina,2005,93.2776975936,0.41,12.81,-0.02,3.21,15.6291589559,0,0,0.66,10.6534929189,23.9463598867,100,40.5668918869,11.0479866696,32.13,39.09,68.95,74.68780488,17.72058337,0.3679547559,NA
Argentina,2006,73.1858589233,0.47,12.81,0.11,4.96,17.411462466,0,0,0.95,11.9102616608,22.0333391527,101,40.4334798719,6.6119855668,37.58,40.63,71.01,74.84990244,20.9272021,0.3969428008,NA
Argentina,2007,63.6228793388,0.94,17.54,0.03,5.02,20.3581214237,0,0,0.94,13.0985413494,19.8483841981,106,40.9451706186,8.489550406,37.71,41,70.67,75.00904878,25.94663294,0.3812727782,NA
Argentina,2008,57.3627016707,1.55,32.69,-0.21,1.93,23.0514567079,0,0,1.21,12.3139467143,11.0218432201,107,40.402673379,8.3753321175,37.34,38.84,67.01,75.16626829,28.11262348,0.3557797165,NA
Argentina,2009,63.699950895,0.54,31.48,-0.02,0.16,25.5958603885,0,1,3.09,12.4162075417,13.7381863641,101,34.0571269055,3.3021801542,34.68,33.26,64.88,75.32456098,34,0.4073754789,NA
Argentina,2010,65.589988703,0.21,22.55,-0.12,0.18,29.0941327557,0,1,0.99,12.6901062455,15.086320353,101,34.9710132636,3.9818469127,39.13,37.01,64,75.48497561,45,0.3450191571,NA
Argentina,2011,49.9917453325,0.28,24.2,NA,0.1,31.7488501299,0,0,1.05,14.0087151168,8.2200694606,99,35.206155,5.6317618786,41.17,40.13,66.46,75.64904878,51,0.3684803002,NA
Argentina,2012,80.2036610532,0.34,17.8,NA,0.14,35.2826985799,0,0,1.38,15.2128150157,6.2739662532,101,30.5265423717,4.2684299258,40.16,36.63,65.21000000000001,75.8162439,55.8,0.4386505934,NA
Australia,1986,99.7027849883,0.86,NA,0.44,6.81,0,0,0,1.39,40.3347020223,65.4481073011,1162,33.0814689743,18.994977031,35.25,31.39,81.17,75.87073171,NA,0.2582768445,-1.5038361246711702
Australia,1987,73.5759577137,1.41,NA,0.06,6.66,0,0,0,1.36,42.8009853766,81.5051358359,1427,32.5670457921,37.2517770518,33.63,27.79,77.58,76.15170732,NA,0.2498440702,-1.608638185041478
Australia,1988,72.0293889051,1.31,NA,0.06,7.57,0,0,0,1.19,46.7186368608,58.290169664,1393,32.6044154123,29.7609542418,34.83,27.88,79.66,76.43268293,NA,0.2561089825,-1.3091875385930933
Australia,1989,96.0040022697,1.18,NA,-0.3,9.22,0,0,0,1.03,59.2415530544,46.793661263,1258,32.1054517616,31.0280359848,35.96,24.8,78.59,76.71365854,NA,0.2796211251,-1.4058945754459562
Australia,1990,99.8783364496,0.79,23.06,-0.59,8.1,0.0495818521,0,0,0.95,60.5565137461,34.6586326137,1089,32.2151332599,37.2314252607,37.46,21.33,76.25,76.99463415,0.585094712,0.3049051606,-1.7692995190299285
Australia,1991,97.4583218438,0.61,18.37,-0.25,5.69,0.3316229736,0,0,1.41,60.0984009879,44.4147646037,968,32.2450197861,31.5359964536,39.09,24.11,75.42,77.27560976,1.097203891,0.2746157042,-1.683383642168243
Australia,1992,76.6824857538,0.4,15.45,0.01,3.52,0.2779049818,1,0,0.93,61.8283000156,41.4971749477,1038,33.0967324521,31.1167697102,38.93,25.77,78.66,77.37804878,1.768764913,0.2938043671,-1.5122929487148884
Australia,1993,96.4986950831,0.31,12.69,-0.12,3.02,0.2533874585,0,0,0.76,63.2317296078,65.4547245229,1070,35.428021297,32.6318331694,36.3,25.71,80.58,77.87804878,1.974611016,0.2460717207,-1.5717049674125063
Australia,1994,99.8072832834,0.5,13.93,-0.06,4.2,0.4496351664,0,0,0.73,66.6842696004,67.7146533989,1144,36.4305130455,45.5021787613,35.34,27.75,81.34,77.87804878,2.232101254,0.2343724696,-1.3693346104613864
Australia,1995,98.8163148571,0.55,12.39,-0.01,5.84,0.782955693,0,0,0.62,69.7309969566,66.5645564535,1129,37.685578958,40.0448653247,34.87,30.08,82.49,77.82926829,2.759654513,0.2663219134,-1.2996903888943372
Australia,1996,99.751989069,0.51,16.44,0.45,5.3,1.331586128,0,0,0.66,71.4118527449,77.7656110748,1135,38.1723495935,46.39184545,35.47,28.83,84.58,78.07804878,3.27524987,0.248346056,-1.0178460953859083
Australia,1997,43.8993491969,0.68,22.36,0.2,5.46,2.0361346016,0,0,0.67,75.2402010602,67.8208987316,1159,37.9046238107,50.7874361441,36.46,35.2,88.24,78.4804878,16.36935838,0.2333550206,-2.0046557108078984
Australia,1998,75.0813057791,0.79,25.6,-0.04,5.35,3.1207351548,0,0,0.58,79.089996437,82.2776034476,1162,39.9237182598,47.2849325787,34.63,41.42,83.33,78.63170732,30.81323944,0.2282776236,-1.436380938150822
Australia,1999,77.6453950852,0.77,24.37,0.38,4.97,4.5950012944,0,0,1.05,84.1637095652,109.9419754409,1217,38.9587761675,46.4684358955,34.51,39.19,86.92,78.93170732,40.7837839,0.2755751346,-0.978484248450514
Australia,2000,77.1846083019,0.71,23.32,1.79,6.24,6.6909073337,0,0,0.55,87.6885437216,89.733482008,1333,40.855914076,57.195960722,34.05,41.75,88.84,79.23414634,46.75611561,0.2915815748,-0.7715000699660648
Australia,2001,76.5523949991,0.38,25.75,0.85,3.89,8.0108140021,0,0,0.78,88.5292787115,99.0052594727,1334,44.0666419278,64.1297026032,34.21,39.67,87.34,79.63414634,52.689266430000004,0.3693634532,0.3427505289768388
