Year,World Equity Diversification Index,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cyprus,Czech Rep.,Denmark,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad,Tunisia,Turkey,Ukraine,UAE,UK,US,Venezuela,Vietnam,Zambia
2012,66.0667100356327,80.2036610532026,55.944746740415,11.4642744153609,96.6885028751399,100,17.9340666928551,61.823634745458,51.9939072237708,64.5305307143488,35.7097990427698,36.0070727531709,93.8619685094826,75.1460455082033,69.2301789363132,47.2062673953812,90.7539336634602,57.1562107710888,41.6700750278857,100,100,56.3435999376147,11.8236779741451,7.2313384116798,7.19386602568559,100,74.9089721306803,78.6088409655313,35.0082019557528,71.4896087892403,74.59934661492,75.9450877703342,24.8453614100965,55.6211037017967,17.0013926200682,100,92.8556331162108,99.441057358151,96.4551603874954,99.5769249914456,95.9760383275234,60.8229304890084,98.8814387001279,40.2335770704516,37.144684619104,95.8159726275436,81.0179412952498,68.8347644093693,99.9911595722927,39.2827843335092,100,77.2126026806634,50.0894955399553,6.42346578651561,52.2810128027582,99.80506377119,22.0069317843632,99.8199069487938,100,100,54.3115054685423,89.6838590300073,22.7860321915954,48.5277368811755,100,45.8480946427368,35.9615132504988,97.1926971934185,78.3836911407964,59.1884928915344,87.8917347277728,96.9006254959464,38.0024363642346,78.8654480971883,29.9232748526943,100,17.2539692180786,11.7792172191358,88.8324326355907,78.2305399129403,100,74.4014092693546,52.7005992358,40.8097024987962,95.0846176431585,15.9566330892534,55.4425723504557,99.0537391948793,95.0107976881535,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-trend coeff,-1.088584,-1.355164,-1.967659,-3.122877,-0.105301,Err:502,-3.386506,-0.668119,-2.291672,-3.960114,-2.452704,-2.191492,-0.290184,-2.586187,-1.760653,-3.974343,-1.997859,-3.359267,-3.237083,Err:502,-0.740136,-2.911683,-4.507491,-3.812459,-3.235842,-0.006518,-2.51084,-1.048138,-3.163571,-1.844342,-1.406113,-2.282232,-2.672264,-2.055318,-3.478009,-0.090516,-0.000554,0.105496,0.940873,-0.165792,-0.140245,-3.078221,2.070513,-5.107509,-3.566548,-2.438592,-0.698234,-2.023513,Err:502,-2.759328,-0.011621,-0.90068,-0.758849,-3.368412,-2.140017,-0.054771,-2.88234,-0.3215,0.076716,Err:502,-1.707705,-0.520614,-3.944206,-2.750253,-0.483135,-5.022852,-3.570864,-0.735982,-3.906364,-1.559021,-0.991561,8.476492,-2.577447,-1.163964,-3.228009,-0.025719,-3.292222,-2.73821,-0.896675,-0.799175,0.038056,-1.590748,-2.615371,-3.463023,-1.060922,-3.448513,-1.643562,0.076979,-0.259459,-0.299077
SE,0.184772,0.383644,0.353059,0.507385,0.063355,,0.460719,2.208049,0.255983,0.512644,0.248755,0.252664,0.065508,0.46565,0.314513,0.609177,2.245147,0.503205,0.423342,,0.328512,0.393796,0.520979,0.400835,0.39412,0.009447,0.406171,0.28141,0.434866,0.414374,0.20407,0.97204,0.392631,0.243962,0.396973,0.134366,0.256391,0.077318,3.13324,0.091854,0.044552,0.409824,1.38916,0.658736,1.05496,1.27644,0.301361,0.303876,,0.214083,0.159777,0.23484,1.49803,0.470089,0.388075,0.031182,0.352908,0.176093,0.122568,,0.34707,0.269057,0.427494,0.450569,0.459226,0.63314,0.765923,0.390396,1.869971,0.330743,0.228726,2.98135,0.402284,0.167201,0.375885,0.064559,0.384415,0.473139,0.16726,0.225339,0.024183,0.445913,0.353456,0.934866,0.801961,0.34384,0.21117,0.123548,0.11629,0.168449
t-stat,-5.891511,-3.532351,-5.573167,-6.154841,-1.662084,,-7.350483,-0.302584,-8.952434,-7.724888,-9.859899,-8.673527,-4.429786,-5.553931,-5.598024,-6.524119,-0.889857,-6.675743,-7.646503,,-2.252993,-7.393882,-8.65196,-9.511292,-8.210303,-0.689979,-6.181735,-3.724589,-7.274812,-4.450908,-6.890355,-2.347878,-6.806046,-8.424752,-8.761324,-0.673653,-0.002161,1.36443,0.300288,-1.804957,-3.14791,-7.511083,1.490479,-7.753494,-3.380744,-1.910464,-2.31693,-6.659019,,-12.889055,-0.072734,-3.835298,-0.506565,-7.165472,-5.51444,-1.756481,-8.167399,-1.825744,0.625907,,-4.920342,-1.93496,-9.226347,-6.103954,-1.052063,-7.93324,-4.662169,-1.885219,-2.088998,-4.71369,-4.335144,2.843172,-6.407033,-6.961444,-8.587766,-0.398376,-8.564229,-5.787324,-5.360977,-3.54655,1.573667,-3.567397,-7.399425,-3.704298,-1.322909,-10.029402,-7.783143,0.623069,-2.231136,-1.775468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Row,1,5,1,1,15,5,1,23,1,16,1,2,9,7,11,12,19,9,1,8,10,11,2,1,1,11,4,1,6,8,2,16,1,2,1,11,1,4,22,5,10,15,23,15,14,20,1,11,11,3,18,3,23,1,3,10,1,12,4,7,6,3,6,5,20,13,10,13,22,1,9,23,1,1,1,5,1,1,1,2,11,13,3,13,20,1,1,5,15,12
Sign -ve (5%),1,1,1,1,0,,1,0,1,1,1,1,,1,1,1,0,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,,1,0,1,0,1,1,0,1,0,0,,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0
Sign +ve,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total -ve,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total +ve,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-stat (Avg),-4.576854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
